Indicator Code: CG0590
"Indicator Name: Noncommunicable diseases"
Export date: 1/7/2023 3:12:17 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C00-C97, D00-D48, D55-D64 (minus D 64.9) D65-D89, E03-E07, E10-E34, E65-E88, F01-F99, G06-G98 (minus G14), H00-H61, H68-H93, I00-I99, J30-J98, K00-K92, L00-L98, M00-M99, N00-N64, N75-N98,  Q00-Q99,  R95, U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age65_69,[65-69],33.00000000,89.18918919,,1996.37023590,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age60_64,[60-64],23.00000000,85.18518519,,1274.94456760,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age70_74,[70-74],56.00000000,77.77777778,,4117.64705880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age65_69,[65-69],28.00000000,87.50000000,,1627.90697670,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age70_74,[70-74],36.00000000,81.81818182,,2593.65994240,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age65_69,[65-69],29.00000000,90.62500000,,1760.77717060,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age70_74,[70-74],38.00000000,90.47619048,,2749.63820550,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age60_64,[60-64],33.00000000,86.84210526,,1719.64564880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age70_74,[70-74],32.00000000,69.56521739,,3960.39603960,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age60_64,[60-64],37.00000000,84.09090909,,1941.23819520,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age60_64,[60-64],37.00000000,82.22222222,,1950.44807590,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age65_69,[65-69],32.00000000,84.21052632,,2222.22222220,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age55_59,[55-59],19.00000000,90.47619048,,1001.58144440,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age60_64,[60-64],19.00000000,86.36363636,,1047.98676230,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age70_74,[70-74],52.00000000,86.66666667,,3924.52830190,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age65_69,[65-69],40.00000000,86.95652174,,2372.47924080,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age60_64,[60-64],30.00000000,85.71428571,,1671.30919220,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age70_74,[70-74],41.00000000,77.35849057,,2934.86041520,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age65_69,[65-69],38.00000000,92.68292683,,2261.90476190,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age70_74,[70-74],53.00000000,88.33333333,,3823.95382400,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age65_69,[65-69],40.00000000,90.90909091,,2460.02460020,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age60_64,[60-64],28.00000000,93.33333333,,1586.40226630,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age60_64,[60-64],28.00000000,87.50000000,,1555.55555560,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age70_74,[70-74],42.00000000,89.36170213,,3083.70044050,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age55_59,[55-59],22.00000000,95.65217391,,1028.03738320,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age60_64,[60-64],27.00000000,84.37500000,,1534.96304720,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age55_59,[55-59],14.00000000,77.77777778,,766.70317634,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age60_64,[60-64],27.00000000,84.37500000,,1549.94259470,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age55_59,[55-59],13.00000000,92.85714286,,692.59456580,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age60_64,[60-64],32.00000000,96.96969697,,1832.76059560,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age70_74,[70-74],46.00000000,86.79245283,,3430.27591350,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age55_59,[55-59],22.00000000,88.00000000,,819.67213115,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age55_59,[55-59],17.00000000,85.00000000,,606.92609782,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age60_64,[60-64],36.00000000,97.29729730,,1635.62017260,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age65_69,[65-69],37.00000000,97.36842105,,2097.50566890,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age70_74,[70-74],43.00000000,93.47826087,,3106.93641620,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age65_69,[65-69],33.00000000,89.18918919,,1774.19354840,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age70_74,[70-74],47.00000000,94.00000000,,3279.83251920,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age55_59,[55-59],21.00000000,84.00000000,,473.61299053,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age60_64,[60-64],31.00000000,86.11111111,,932.33082707,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age60_64,[60-64],46.00000000,83.63636364,,1324.88479260,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age65_69,[65-69],48.00000000,96.00000000,,1786.37886120,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age70_74,[70-74],35.00000000,89.74358974,,1877.68240340,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age65_69,[65-69],75.00000000,76.53061224,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age65_69,[65-69],29.00000000,90.62500000,,1792.33621760,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age70_74,[70-74],45.00000000,81.81818182,,3275.10917030,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age55_59,[55-59],22.00000000,81.48148148,,1086.41975310,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,All,Age55_59,[55-59],17.00000000,89.47368421,,771.32486388,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age55_59,[55-59],23.00000000,79.31034483,,1005.68430260,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age60_64,[60-64],21.00000000,84.00000000,,1163.43490300,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age65_69,[65-69],29.00000000,93.54838710,,1896.66448660,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age60_64,[60-64],21.00000000,95.45454545,,1107.59493670,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age65_69,[65-69],22.00000000,78.57142857,,1408.45070420,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age70_74,[70-74],37.00000000,86.04651163,,2773.61319340,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age70_74,[70-74],46.00000000,88.46153846,,3432.83582090,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age55_59,[55-59],8.00000000,88.88888889,,243.97682220,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age60_64,[60-64],26.00000000,96.29629630,,1028.88800950,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,All,Age55_59,[55-59],31.00000000,91.17647059,,902.21187427,
